id	parent_id
Q208335	Q253776
Q206630	Q614481
Q266107	Q10754417
Q200339	Q131450
Q18851	Q736322
Q54696	Q30944
Q507383	Q43365
Q174088	Q868144
Q25334	Q855800
Q12265905	Q214627
Q25382	Q843173
Q853412	Q370849
Q1262057	Q1608770
Q330318	Q214627
Q21948535	Q723059
Q18856	Q18000478
Q11848755	Q41972
Q501063	Q940685
Q4764	Q47549
Q704987	Q30944
Q1589248	Q388003
Q305255	Q736322
Q26416	Q1073197
Q695723	Q842978
Q41181	Q30085
Q27074882	Q1466322
Q25429	Q28135
Q214571	Q310865
Q25440	Q19401
Q26490	Q43489
Q524343	Q3924795
Q26733	Q210416
Q843175	Q115661
Q25709	Q739050
Q80362	Q600204
Q1270485	Q135990
Q25307	Q271634
Q514809	Q10801919
Q218821	Q312272
Q258964	Q26030
Q3066642	Q842978
Q73578	Q1088541
Q26691	Q3758978
Q1586258	Q614481
Q768140	Q1887740
Q392232	Q312272
Q27442	Q388003
Q373114	Q917005
Q27075750	Q843168
Q337416	Q259424
Q248740	Q1029511
Q589245	Q2569205
Q18841	Q585636
Q46435	Q11234198
Q1272080	Q1887740
Q25612	Q29564928
Q25348	Q214264
Q1133750	Q271634
Q31617	Q674094
Q28103	Q41972
Q42326	Q209239
Q21364393	Q3838110
Q171360	Q208488
Q18854	Q215166
Q25469	Q333842
Q26349	Q115661
Q25273	Q310853
Q28106837	Q28106682
Q1267748	Q913555
Q221423	Q614481
Q182761	Q926064
Q171563	Q832329
Q321293	Q76366
Q1262413	Q603287
Q25332	Q3893145
Q877666	Q746658
Q601672	Q754657
Q1203008	Q850925
Q494888	Q3389415
Q178821	Q316342
Q191125	Q183361
Q839542	Q214264
Q208707	Q193807
Q26420	Q28915
Q1315879	Q1088541
Q28868046	Q28753
Q1589031	Q115661
Q862698	Q852860
Q25940	Q214264
Q18844	Q316342
Q431212	Q540883
Q25692	Q786045
Q673280	Q183361
Q131044	Q29564928
Q18850	Q310859
Q2587219	Q115661
Q126216	Q133003
Q185099	Q220705
Q715227	Q311248
Q763116	Q135951
Q27075678	Q16069825
Q1588177	Q614481
Q288485	Q905420
Q116667	Q136358
Q1193779	Q614481
Q720648	Q478281
Q206840	Q253776
Q211986	Q603287
Q888547	Q244078
Q243761	Q213984
Q2897097	Q25399
Q20949808	Q115661
Q143284	Q132916
Q121221	Q10792667
Q170723	Q46316
Q368505	Q214627
Q1034960	Q192575
Q25402	Q29564928
Q253644	Q10734465
Q2998692	Q2511641
Q28236	Q1887740
Q36197	Q852860
Q28450	Q41972
Q2869566	Q214627
Q25909	Q901041
Q27075597	Q3770027
Q191628	Q183361
Q206089	Q12814009
Q30535	Q43489
Q795565	Q1463407
Q6739527	Q906092
Q890912	Q3759722
Q25882	Q183361
Q478632	Q852860
Q1069867	Q147880
Q27075670	Q10784792
Q25421	Q1051101
Q903229	Q10745190
Q790623	Q1088541
Q25383	Q581391
Q152144	Q1050525
Q31713	Q310465
Q790616	Q754657
Q190083	Q241515
Q997448	Q431179
Q27075446	Q248398
Q273067	Q2727124
Q215211	Q1075355
Q331179	Q631677
Q26635	Q214300
Q27452479	Q16529427
Q27074540	Q183361
Q731600	Q863604
Q28505	Q76366
Q26205	Q614481
Q966356	Q947895
Q21949185	Q21949237
Q25392	Q13426919
Q1586190	Q3759722
Q494424	Q15875487
Q3233109	Q1082724
Q3454180	Q220705
Q25399	Q230042
Q594049	Q133463
Q132669	Q947895
Q27075558	Q2333854
Q27375	Q1887740
Q1440261	Q198823
Q18858	Q215166
Q130933	Q214293
Q205930	Q162029
Q269896	Q147403
Q27075327	Q1234846
Q26603	Q29564928
Q178942	Q115661
Q1260390	Q832329
Q1061015	Q940685
Q25438	Q147403
Q1590357	Q1082724
Q28482	Q1088377
Q1586230	Q614481
Q605431	Q6377551
Q335535	Q614481
Q941289	Q786045
Q25700	Q214264
Q73477	Q15111715
Q1260592	Q869404
Q10770477	Q749428
Q1585356	Q850925
Q130730	Q310853
Q27075595	Q604910
Q913777	Q736322
Q726873	Q193807
Q1137288	Q214293
Q26578	Q328982
Q726389	Q858444
Q25376	Q637533
Q716869	Q1869243
Q1192214	Q10784792
Q1588195	Q262063
Q184820	Q1951909
Q26612	Q310848
Q1590370	Q214627
Q207838	Q1075355
Q888536	Q244078
Q27075864	Q5261336
Q12267692	Q76408
Q73456	Q637716
Q616456	Q240088
Q495144	Q746658
Q79915	Q583551
Q25380	Q188737
Q1062575	Q603287
Q25386	Q43365
Q73741	Q135936
Q179919	Q1237815
Q73574	Q388003
Q26620	Q240088
Q31769	Q135898
Q25450	Q214264
Q25384	Q648422
Q1658724	Q603287
Q189609	Q253789
Q26742	Q214300
Q31898	Q608715
Q21470350	Q249826
Q26209	Q723059
Q181320	Q1049267
Q177798	Q719380
Q28106731	Q28106738
Q116708	Q2375770
Q926664	Q19401
Q600319	Q370849
Q270722	Q132906
Q767050	Q28135
Q128029	Q188737
Q2784761	Q388003
Q1070365	Q135851
Q917150	Q132913
Q26800	Q76366
Q606755	Q188737
Q1315689	Q906092
Q191096	Q1193281
Q1049056	Q371767
Q111674	Q43365
Q548262	Q852860
Q25928	Q27515
Q28106789	Q28106682
Q331065	Q3214630
Q265279	Q642855
Q739209	Q673853
Q25432	Q737426
Q764171	Q135951
Q1071547	Q230042
Q1316962	Q28753
Q1270171	Q852334
Q180991	Q253789
Q1190674	Q614481
Q208060	Q518087
Q728235	Q310857
Q25777	Q115661
Q425900	Q737426
Q27075673	Q10784792
Q232906	Q47549
Q493173	Q14860497
Q26114	Q642855
Q27075642	Q1088541
Q2225265	Q2727124
Q27075354	Q3838110
Q2669182	Q214627
Q1047787	Q13426919
Q1589003	Q115661
Q1584677	Q850925
Q691005	Q431179
Q27434	Q256760
Q2720710	Q115661
Q25185408	Q852860
Q195518	Q310935
Q949662	Q842978
Q18840	Q41972
Q26597	Q2060384
Q170831	Q310850
Q809446	Q214627
Q25357	Q43365
Q129219	Q968266
Q503804	Q47549
Q26650	Q30838
Q495139	Q209239
Q715819	Q136358
Q131709	Q312272
Q2669165	Q920922
Q1264176	Q10818243
Q25678	Q31818
Q25247	Q4006276
Q25769	Q648422
Q503807	Q2717364
Q94533	Q904303
Q335113	Q179112
Q623194	Q1887740
Q26961	Q614481
Q44109	Q992943
Q25876	Q1132015
Q700028	Q226900
Q320193	Q612817
Q837761	Q850925
Q1591651	Q115661
Q720497	Q214627
Q201461	Q1234846
Q735158	Q371767
Q286809	Q614481
Q1190491	Q869404
Q212767	Q1053111
Q755653	Q183361
Q18835	Q2359014
Q1110083	Q371767
Q210791	Q2719515
Q862825	Q688188
Q766579	Q852860
Q1266506	Q746658
Q804145	Q754657
Q1589896	Q644294
Q371843	Q1089134
Q207290	Q723059
Q31866	Q310465
Q76496	Q215166
Q1074163	Q902469
Q201316	Q230042
Q193593	Q1991437
Q331190	Q339517
Q843168	Q667490
Q1589261	Q614481
Q495515	Q287293
Q686673	Q914721
Q18864	Q585636
Q208703	Q857400
Q27239	Q214627
Q201106	Q310935
Q1262185	Q1978121
Q427182	Q614481
Q18859	Q41972
Q385076	Q375716
Q216855	Q614481
Q1367236	Q388003
Q25634	Q135851
Q14683	Q28753
Q1272062	Q2312123
Q727214	Q19401
Q1591663	Q115661
Q25961	Q378278
Q18875	Q76366
Q25422	Q1237815
Q62168788	Q51670098
Q679123	Q979624
Q25740	Q3888717
Q58958	Q30838
Q1075576	Q746658
Q631805	Q1180273
Q172093	Q183361
Q20754771	Q2822501
Q156767	Q858577
Q3315640	Q644294
Q27074615	Q310853
Q589154	Q1887740
Q27075786	Q9189957
Q1152577	Q235152
Q208763	Q917005
Q1272534	Q832329
Q1076007	Q614481
Q26459	Q214264
Q188877	Q581391
Q27075456	Q9293884
Q26452	Q183361
Q208334	Q3924795
Q12262524	Q850925
Q26552	Q339517
Q18837	Q41972
Q26657	Q208716
Q18860	Q30838
Q26427	Q1887740
Q494983	Q47549
Q1052029	Q133463
Q339781	Q214264
Q185784	Q214627
Q25345384	Q1234846
Q25234	Q115661
Q18845	Q746658
Q752513	Q214627
Q697413	Q208940
Q1200757	Q637716
Q27075477	Q214627
Q27050	Q210416
Q21062	Q838599
Q25354	Q311248
Q26198	Q43365
Q1267153	Q832329
Q998495	Q6471715
Q266761	Q578756
Q184518	Q12814087
Q21976264	Q850925
Q1273772	Q513741
Q25353	Q188737
Q574939	Q852860
Q12265907	Q214627
Q1076585	Q835525
Q25968	Q28753
Q525717	Q513741
Q74092	Q2090536
Q28355	Q41972
Q26135	Q208940
Q27631965	Q27075673
Q18847	Q853653
Q26444	Q214300
Q592362	Q843168
Q204111	Q244078
Q18865	Q2359014
Q26892	Q4865776
Q25984	Q230042
Q46143	Q843168
Q27075672	Q10784792
Q529048	Q256760
Q1074291	Q249826
Q18855	Q736322
Q244035	Q292956
Q716317	Q832329
Q1268169	Q214264
Q862812	Q644294
Q857400	Q28486
Q208716	Q14254250
Q370849	Q55805
Q162029	Q201240
Q583551	Q8154335
Q230042	Q205943
Q18000478	Q26626
Q739050	Q855133
Q76366	Q875769
Q1234846	Q25565
Q3758978	Q21666
Q47549	Q25365
Q214264	Q27725
Q2359014	Q28449
Q10784792	Q1193805
Q253776	Q26626
Q262063	Q187014
Q14860497	Q193833
Q1951909	Q25565
Q135936	Q214462
Q926064	Q26375
Q2719515	Q550595
Q135990	Q11725806
Q214300	Q27725
Q642855	Q26626
Q10734465	Q371086
Q147403	Q25510
Q136358	Q185237
Q1029511	Q27589
Q339517	Q667490
Q28106738	Q7556
Q838599	Q28294
Q132916	Q561145
Q868144	Q667490
Q131450	Q27725
Q3893145	Q28240
Q4865776	Q26626
Q28915	Q200989
Q208488	Q17189403
Q637716	Q366974
Q612817	Q208492
Q604910	Q185237
Q992943	Q44245
Q312272	Q18789
Q540883	Q25510
Q192575	Q15631675
Q10754417	Q205943
Q2727124	Q692828
Q21949237	Q25365
Q292956	Q28294
Q852860	Q214462
Q3888717	Q208304
Q183361	Q82562
Q1075355	Q168473
Q914721	Q28486
Q1073197	Q28486
Q11234198	Q839526
Q1193281	Q168473
Q235152	Q25510
Q132906	Q18789
Q968266	Q200989
Q371767	Q1607847
Q754657	Q171052
Q1132015	Q43489
Q1991437	Q205938
Q940685	Q188854
Q198823	Q1401386
Q19401	Q3901247
Q723059	Q561145
Q913555	Q26012
Q3389415	Q217472
Q30838	Q26626
Q287293	Q28294
Q581391	Q160835
Q310865	Q667490
Q858444	Q223402
Q853653	Q26623
Q310853	Q1031335
Q29564928	Q620938
Q673853	Q667490
Q214627	Q1929497
Q208940	Q11897625
Q248398	Q39861
Q863604	Q974811
Q15111715	Q200989
Q1051101	Q21695
Q333842	Q185237
Q6377551	Q25510
Q310857	Q39861
Q26030	Q26050
Q2060384	Q27725
Q917005	Q193833
Q518087	Q1074819
Q667490	Q160835
